Username,Password,Userid,Friends,,,Posts,,
DudleySnape,12345678,111,HagridKreacher,SiriusTonks,DumbledoreKreacher,Cho Chang: Quidditch match tomorrow! Ready to cheer for my favorite team. #RavenclawPride #QuaffleQuibbler,@HermioneGranger: Another day another library session. Mastering spells and potions like it's my job! #BookwormLife #WizardStudies,@Peeves_ThePoltergeist: Causing chaos in the hallways because well that's what I do best! #PeevesPranks #PoltergeistLife
DumbledoreKarkaroff,98765432,112,BellatrixHarry,CedricBarty,SiriusLockhart,@MagicalMenagerie: Just got a new delivery of magical creatures! From Pygmy Puffs to Blast-Ended Skrewts we've got it all. #MagicalMenagerie #CreatureCraze,Luna Lovegood: Thestrals make the best companions. #MagicalCreatures #NargleAwareness,Cedric Diggory - Training hard for the Triwizard Tournament. It's not just about winning; it's about doing your best! #TriwizardPrep
DumbledoreKreacher,12345678,113,CedricVernon,KreacherNarcissa,,Moaning Myrtle - Feeling a bit down in the bathroom. Anyone up for a ghostly chat? #MoaningMyrtle #LonelyGhost,Harry Potter: Just defeated another dark wizard. NBD. #AurorLife #NoMugglesWereHarmed,@MoaningMyrtle: Ugh another day haunting the bathroom. Can't a ghost catch a break? #MoaningMyrtle #GhostProblems
FilchPetunia,98765432,114,MalfoyGilderoy,LuciusMolly,KreacherNarcissa,Professor McGonagall: Another year at Hogwarts and I've already turned into a cat twice. #AnimagusProblems #TransfigurationTeacher,@NymphadoraTonks: Tried a new hair color today. Feeling blue... literally. #MetamorphmagusLife #TonksTales,Cho Chang: Quidditch match tomorrow! Ready to cheer for my favorite team. #RavenclawPride #QuaffleQuibbler
FilchVernon,12345678,115,HedwigGilderoy,KreacherParvati,NaginiLockhart,@MoaningMyrtle: Ugh another day haunting the bathroom. Can't a ghost catch a break? #MoaningMyrtle #GhostProblems,@TheBoyWhoLived: Just cast a perfect Patronus charm to fend off some Dementors! #ExpectoPatronum #HarryPotterLife,@HermioneGranger: Another day another library session. Mastering spells and potions like it's my job! #BookwormLife #WizardStudies
FleurRon,98765432,116,DracoBellatrix,,,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,@NymphadoraTonks: Tried a new hair color today. Feeling blue... literally. #MetamorphmagusLife #TonksTales,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged
FredNeville,12345678,117,FredSnape,GeorgeHarry,DracoKarkaroff,Cho Chang: Quidditch match tomorrow! Ready to cheer for my favorite team. #RavenclawPride #QuaffleQuibbler,Dobby - Dobby is a free elf! No more serving the Malfoys. What's next for Dobby? #FreeElf,Peeves - Causing chaos in the Great Hall again! Who needs order anyway? #PeevesPranks
FredSnape,98765432,118,HagridFudge,LupinKarkaroff,HagridKarkaroff,Luna Lovegood - The Quibbler has an exclusive interview with the Crumple-Horned Snorkack! Get your copy now!,@MoaningMyrtle: Ugh another day haunting the bathroom. Can't a ghost catch a break? #MoaningMyrtle #GhostProblems,Cho Chang - Just finished a great Quidditch match. Ravenclaw for the win! #QuidditchVictory
GeorgeDobby,12345678,119,NarcissaLupin,HagridHarry,,@WeasleyWizardWheezes: Our latest invention is sure to make you laugh until your sides split! The Ticklish Tonic is flying off the shelves! #WeasleyWizardWheezes,Luna Lovegood - The Quibbler has an exclusive interview with the Crumple-Horned Snorkack! Get your copy now!,@FredAndGeorge: Who needs a love potion when you've got our latest product Heartbreaker Jellybeans? Grab a pack and wreak havoc! #PrankstersUnleashed #FredAndGeorge
GeorgeHarry,98765432,120,FilchPetunia,BellatrixSirius,MalfoySirius,Ron Weasley - Finally mastered the Patronus charm! Turns out mine is a... really determined garden gnome. #WeirdPatronus,Nymphadora Tonks - Just changed my hair color to bright pink for a laugh. Moody wasn't amused. #MetamorphmagusMadness,@NymphadoraTonks: Tried a new hair color today. Feeling blue... literally. #MetamorphmagusLife #TonksTales
GeorgeNarcissa,12345678,121,HagridHarry,VernonLupin,ArthurHermione,Harry Potter: Just defeated another dark wizard. NBD. #AurorLife #NoMugglesWereHarmed,Ron Weasley: Accidentally turned my pet rat into a cup. Oops! #MagicalMishaps #TransfigurationTroubles,@Dobby_TheElf: Dobby is a free elf! Enjoying the freedom and maybe some socks. #FreeElf #DobbyIsHappy
GinnyLupin,98765432,122,GeorgeNarcissa,HagridKarkaroff,,Draco Malfoy: Slytherin Pride forever! #PurebloodPower #MalfoyManor,@MagicalMenagerie: Just got a new delivery of magical creatures! From Pygmy Puffs to Blast-Ended Skrewts we've got it all. #MagicalMenagerie #CreatureCraze,Hermione Granger - Accidentally discovered a new spell while studying. It's called 'Accio Extra Coffee'!
HagridFudge,12345678,123,LuciusKreacher,GinnyLupin,BartyPetunia,@TheBoyWhoLived: Just cast a perfect Patronus charm to fend off some Dementors! #ExpectoPatronum #HarryPotterLife,@NymphadoraTonks: Tried a new hair color today. Feeling blue... literally. #MetamorphmagusLife #TonksTales,@HogwartsExp: All aboard the Hogwarts Express! Next stop: Magic and Adventure. #BackToHogwarts #TrainRide
HagridHarry,98765432,124,SiriusTonks,GeorgeNarcissa,DumbledoreKarkaroff,@WeasleyWizardWheezes: Our latest invention is sure to make you laugh until your sides split! The Ticklish Tonic is flying off the shelves! #WeasleyWizardWheezes,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,Fleur Delacour: Veela charm level: Expert. #BeauxbatonsBeauty #VeelaVibes
HagridKarkaroff,12345678,125,NevilleFilch,HedwigGilderoy,,Hagrid: Just adopted a new Blast-Ended Skrewt. Anyone have tips on creature care? #MagicalMenagerie #HagridsHut,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged,Nearly Headless Nick - Celebrating 500 years of nearly headlessness! A milestone in the afterlife. #NearlyHeadless500
HagridKreacher,98765432,126,LupinLavender,LuciusDumbledore,MalfoyVoldemort,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,Ginny Weasley: Quidditch practice was intense! #SeekerLife #GryffindorGlory,Professor Snape - Today's Potions class: brewing Felix Felicis. Keep those cauldrons steady or you'll be unlucky for a month! #PotionMaster
HedwigGilderoy,12345678,127,MyrtleLavender,BartyPetunia,LupinKarkaroff,Dobby - Dobby is a free elf! No more serving the Malfoys. What's next for Dobby? #FreeElf,@Fawkes_ThePhoenix: Just burst into flames and rose from the ashes. The perks of being a phoenix! #EternalLife #PhoenixMagic,Cedric Diggory: Triwizard Tournament practice got me feeling like a dragon's snack. #TriwizardTrials #HufflepuffHero
KreacherNarcissa,98765432,128,BellatrixHarry,CedricDraco,,@FredAndGeorge: Who needs a love potion when you've got our latest product Heartbreaker Jellybeans? Grab a pack and wreak havoc! #PrankstersUnleashed #FredAndGeorge,@HPotterFansUnite: Raise your wands if you're still waiting for your Hogwarts letter! #HogwartsDreams #PotterheadsUnite,Rita Skeeter - Latest scoop: Harry Potter seen in Hogsmeade with a mysterious creature. Exclusive details in the Daily Prophet! #GossipQueen
KreacherParvati,12345678,129,DumbledoreKreacher,GeorgeDobby,HagridKarkaroff,Peeves - Causing chaos in the Great Hall again! Who needs order anyway? #PeevesPranks,Fred Weasley: Just pranked Snape with some extendable ears. Never gets old! #WeasleyWizardWheezes #MaraudersMap,Luna Lovegood: Thestrals make the best companions. #MagicalCreatures #NargleAwareness
LuciusDumbledore,98765432,130,HagridKarkaroff,FredSnape,CedricVernon,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,@ProfSnape: Detention for those who can't brew a proper potion. I expect perfection not excuses. #PotionsMaster #SlytherinPride,@HogwartsExp: All aboard the Hogwarts Express! Next stop: Magic and Adventure. #BackToHogwarts #TrainRide
LuciusKreacher,12345678,131,DumbledoreKarkaroff,,,Cedric Diggory - Training hard for the Triwizard Tournament. It's not just about winning; it's about doing your best! #TriwizardPrep,Nymphadora Tonks - Just changed my hair color to bright pink for a laugh. Moody wasn't amused. #MetamorphmagusMadness,Moaning Myrtle - Feeling a bit down in the bathroom. Anyone up for a ghostly chat? #MoaningMyrtle #LonelyGhost
LuciusMolly,98765432,132,MalfoyGilderoy,GeorgeHarry,,Lord Voldemort: Plotting world domination. The usual. #DarkLordGoals #FearMe,@DumbledoreQuotes: Happiness can be found even in the darkest of times if one only remembers to turn on the light. Wise words for your Wednesday. #DumbledoreWisdom #LightInTheDarkness,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince
LupinKarkaroff,12345678,133,SiriusMyrtle,ArthurHermione,HagridKreacher,Hermione Granger: Books are my Portkey to knowledge! #BookWorm #MuggleStudies,Neville Longbottom - Accidentally watered my Mimbulus mimbletonia with Gillyweed. Professor Sprout wasn't too thrilled. #HerbologyOops,@Dobby_TheElf: Dobby is a free elf! Enjoying the freedom and maybe some socks. #FreeElf #DobbyIsHappy
LupinLavender,98765432,134,MalfoySirius,VernonLupin,,@LunaLovegood: Just spotted a Crumple-Horned Snorkack on my way to class. They're real you know. #LunaLogic #BelieveInMagic,Professor McGonagall: Another year at Hogwarts and I've already turned into a cat twice. #AnimagusProblems #TransfigurationTeacher,Lord Voldemort: Plotting world domination. The usual. #DarkLordGoals #FearMe
MalfoyGilderoy,12345678,135,CedricVernon,BellatrixHarry,DracoBellatrix,Neville Longbottom - Accidentally watered my Mimbulus mimbletonia with Gillyweed. Professor Sprout wasn't too thrilled. #HerbologyOops,Hermione Granger: Books are my Portkey to knowledge! #BookWorm #MuggleStudies,Professor McGonagall: Another year at Hogwarts and I've already turned into a cat twice. #AnimagusProblems #TransfigurationTeacher
MalfoyMolly,98765432,136,BartyPetunia,,,@TheBoyWhoLived: Just cast a perfect Patronus charm to fend off some Dementors! #ExpectoPatronum #HarryPotterLife,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged,@NearlyHeadlessNick: Ghost party in the Great Hall tonight! All Hogwarts ghosts invited. #NearlyHeadlessNick #GhostlyGathering
MalfoySirius,12345678,137,HagridKreacher,MalfoyVoldemort,MoodyMolly,Ginny Weasley - Quidditch practice was intense today! Bludgers everywhere but we emerged victorious! #QuidditchQueen,Hermione Granger - Accidentally discovered a new spell while studying. It's called 'Accio Extra Coffee'!,Ginny Weasley: Quidditch practice was intense! #SeekerLife #GryffindorGlory
MalfoyVoldemort,98765432,138,MyrtleLavender,HagridKreacher,SiriusLockhart,Lord Voldemort: Plotting world domination. The usual. #DarkLordGoals #FearMe,@HPotterFansUnite: Raise your wands if you're still waiting for your Hogwarts letter! #HogwartsDreams #PotterheadsUnite,@Peeves_ThePoltergeist: Causing chaos in the hallways because well that's what I do best! #PeevesPranks #PoltergeistLife
MoodyMolly,12345678,139,HagridFudge,FredSnape,,Peeves - Causing chaos in the Great Hall again! Who needs order anyway? #PeevesPranks,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,@Dudley_Dursley: Just found out there's a world of magic that I knew nothing about. Still not sure how to feel about it. #MuggleProblems #HarryWho?
MyrtleLavender,98765432,140,SnapeLuna,NaginiScabbers,NaginiLockhart,Cho Chang - Just finished a great Quidditch match. Ravenclaw for the win! #QuidditchVictory,Ginny Weasley: Quidditch practice was intense! #SeekerLife #GryffindorGlory,Professor McGonagall: Another year at Hogwarts and I've already turned into a cat twice. #AnimagusProblems #TransfigurationTeacher
NaginiLockhart,12345678,141,DracoKarkaroff,FredNeville,CedricDraco,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged,Hermione Granger: Books are my Portkey to knowledge! #BookWorm #MuggleStudies,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts
NaginiScabbers,98765432,142,BellatrixSirius,,,Cedric Diggory: Triwizard Tournament practice got me feeling like a dragon's snack. #TriwizardTrials #HufflepuffHero,Lord Voldemort: Plotting world domination. The usual. #DarkLordGoals #FearMe,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts
NarcissaLupin,12345678,143,GeorgeNarcissa,LupinKarkaroff,LuciusKreacher,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts,Fred Weasley: Just pranked Snape with some extendable ears. Never gets old! #WeasleyWizardWheezes #MaraudersMap,@DumbledoreQuotes: Happiness can be found even in the darkest of times if one only remembers to turn on the light. Wise words for your Wednesday. #DumbledoreWisdom #LightInTheDarkness
NevilleFilch,98765432,144,LupinLavender,MalfoyGilderoy,NaginiScabbers,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts,Professor Snape - Today's Potions class: brewing Felix Felicis. Keep those cauldrons steady or you'll be unlucky for a month! #PotionMaster,@NymphadoraTonks: Tried a new hair color today. Feeling blue... literally. #MetamorphmagusLife #TonksTales
SiriusLockhart,12345678,145,HedwigGilderoy,SiriusTonks,,Ginny Weasley: Quidditch practice was intense! #SeekerLife #GryffindorGlory,@Fawkes_ThePhoenix: Just burst into flames and rose from the ashes. The perks of being a phoenix! #EternalLife #PhoenixMagic,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf
SiriusMyrtle,98765432,146,DracoBellatrix,LupinLavender,FilchVernon,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty,@DumbledoreQuotes: Happiness can be found even in the darkest of times if one only remembers to turn on the light. Wise words for your Wednesday. #DumbledoreWisdom #LightInTheDarkness,@Fawkes_ThePhoenix: Just burst into flames and rose from the ashes. The perks of being a phoenix! #EternalLife #PhoenixMagic
SiriusTonks,12345678,147,HagridKarkaroff,TonksMcGonagall,FilchPetunia,Ginny Weasley: Quidditch practice was intense! #SeekerLife #GryffindorGlory,@MoaningMyrtle: Ugh another day haunting the bathroom. Can't a ghost catch a break? #MoaningMyrtle #GhostProblems,Sirius Black - Escaped Azkaban cleared my name and now I'm a free man! Time to catch up on some lost years. #PadfootIsFree
SnapeLuna,98765432,148,MalfoyVoldemort,MalfoyMolly,,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,@Dobby_TheElf: Dobby is a free elf! Enjoying the freedom and maybe some socks. #FreeElf #DobbyIsHappy
TonksMcGonagall,12345678,149,LuciusDumbledore,NaginiLockhart,CedricArthur,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,@GinnyWeasley: Quidditch practice was intense today! Blasted a Quaffle past the Keeper like it was nothing. #GinnyWeasley #QuidditchQueen,Ron Weasley: Accidentally turned my pet rat into a cup. Oops! #MagicalMishaps #TransfigurationTroubles
VernonLupin,98765432,150,DudleySnape,,,Harry Potter - Just defeated a Hungarian Horntail in the Triwizard Tournament! No biggie. #TriwizardChampion #NBD,Hermione Granger - Accidentally discovered a new spell while studying. It's called 'Accio Extra Coffee'!,@Peeves_ThePoltergeist: Causing chaos in the hallways because well that's what I do best! #PeevesPranks #PoltergeistLife
farouq,hirefarouq,1234,,,,i'm a cool guy
